Prop_0,trans_id,account_id,type,operation,amount,balance,k_symbol,bank,account,year,month,day,fulldate,fulltime,fulldatewithtime,_c0
,T00497212,A00001695,Credit,Credit in Cash,11832,12032,,,NA,2013,1,8,2013-01-08,11:42:14,2013-01-08T11:42:14,30
,T00621760,A00002122,Credit,Credit in Cash,300,300,,,NA,2013,1,8,2013-01-08,13:23:47,2013-01-08T13:23:47,31
,T00480214,A00001637,Credit,Credit in Cash,500,500,,,NA,2013,1,8,2013-01-08,14:01:07,2013-01-08T14:01:07,32
,T00612392,A00002087,Credit,Credit in Cash,600,600,,,NA,2013,1,8,2013-01-08,13:21:14,2013-01-08T13:21:14,33
,T00224342,A00000764,Credit,Credit in Cash,1100,1100,,,NA,2013,1,8,2013-01-08,10:25:46,2013-01-08T10:25:46,34
,T01049881,A00003592,Credit,Credit in Cash,600,600,,,NA,2013,1,8,2013-01-08,13:49:31,2013-01-08T13:49:31,35
,T01132662,A00003871,Credit,Credit in Cash,300,300,,,NA,2013,1,8,2013-01-08,14:07:56,2013-01-08T14:07:56,36
,T01021120,A00003487,Credit,Credit in Cash,800,800,,,NA,2013,1,8,2013-01-08,08:08:38,2013-01-08T08:08:38,37
,T00439035,A00001493,Credit,Credit in Cash,200,200,,,NA,2013,1,9,2013-01-09,09:39:13,2013-01-09T09:39:13,38
,T00110534,A00000374,Credit,Credit in Cash,400,400,,,NA,2013,1,9,2013-01-09,09:09:09,2013-01-09T09:09:09,39
,T00771036,A00002632,Credit,Credit in Cash,14264,15364,,,NA,2013,1,9,2013-01-09,09:27:45,2013-01-09T09:27:45,40
,T00506450,A00001730,Credit,Credit in Cash,900,900,,,NA,2013,1,9,2013-01-09,11:42:16,2013-01-09T11:42:16,41
,T00192097,A00000652,Credit,Credit in Cash,13851,14551,,,NA,2013,1,9,2013-01-09,16:46:01,2013-01-09T16:46:01,42
,T01117248,A00003818,Credit,Credit in Cash,17366,17966,,,NA,2013,1,9,2013-01-09,08:09:03,2013-01-09T08:09:03,43
,T00695720,A00002379,Credit,Credit in Cash,800,800,,,NA,2013,1,10,2013-01-10,15:55:39,2013-01-10T15:55:39,44
,T00857973,A00002925,Credit,Credit in Cash,1000,1000,,,NA,2013,1,10,2013-01-10,12:19:11,2013-01-10T12:19:11,45
,T00477638,A00001628,Credit,Credit in Cash,700,700,,,NA,2013,1,10,2013-01-10,08:10:26,2013-01-10T08:10:26,46
,T01049882,A00003592,Credit,Collection from Another Bank,6007,6607,Old Age Pension,U.S. Bancorp,73166322,2013,1,10,2013-01-10,09:02:13,2013-01-10T09:02:13,47
,T00252644,A00000866,Credit,Credit in Cash,500,500,,,NA,2013,1,10,2013-01-10,10:45:25,2013-01-10T10:45:25,48
,T00393505,A00001338,Credit,Credit in Cash,400,400,,,NA,2013,1,11,2013-01-11,08:34:56,2013-01-11T08:34:56,49
,T00171813,A00000576,Credit,Collection from Another Bank,6207,7107,Old Age Pension,State Street Corp.,30300313,2013,1,11,2013-01-11,16:36:38,2013-01-11T16:36:38,50
,T00581699,A00001979,Credit,Credit in Cash,900,900,,,NA,2013,1,11,2013-01-11,12:20:47,2013-01-11T12:20:47,51
,T00252645,A00000866,Credit,Credit in Cash,12644,13144,,,NA,2013,1,11,2013-01-11,15:04:16,2013-01-11T15:04:16,52
,T00101386,A00000346,Credit,Credit in Cash,800,800,,,NA,2013,1,11,2013-01-11,11:25:35,2013-01-11T11:25:35,53
,T00689828,A00002357,Credit,Collection from Another Bank,6434,7234,Old Age Pension,PNC Financial Services,34144538,2013,1,12,2013-01-12,10:30:16,2013-01-12T10:30:16,54
,T00725752,A00002484,Credit,Credit in Cash,14779,15879,,,NA,2013,1,12,2013-01-12,16:47:37,2013-01-12T16:47:37,55
,T00565655,A00001926,Credit,Credit in Cash,4507,5207,,,NA,2013,1,12,2013-01-12,13:52:16,2013-01-12T13:52:16,56
,T00857974,A00002925,Credit,Credit in Cash,6446,7446,,,NA,2013,1,12,2013-01-12,12:34:59,2013-01-12T12:34:59,57
,T00560898,A00001909,Credit,Credit in Cash,800,800,,,NA,2013,1,12,2013-01-12,14:13:45,2013-01-12T14:13:45,58
,T00207265,A00000704,Credit,Credit in Cash,17477,18477,,,NA,2013,1,12,2013-01-12,11:04:49,2013-01-12T11:04:49,59
,T00477639,A00001628,Credit,Collection from Another Bank,4276,4976,Old Age Pension,Bank of New York Mellon Corp.,15916598,2013,1,12,2013-01-12,11:14:10,2013-01-12T11:14:10,60
,T00615542,A00002099,Credit,Credit in Cash,1100,1100,,,NA,2013,1,12,2013-01-12,13:13:38,2013-01-12T13:13:38,61
,T00439036,A00001493,Credit,Collection from Another Bank,5009,5209,Old Age Pension,JPMorgan Chase,54522466,2013,1,13,2013-01-13,14:38:37,2013-01-13T14:38:37,62
,T01100759,A00003760,Credit,Credit in Cash,1000,1000,,,NA,2013,1,13,2013-01-13,15:18:01,2013-01-13T15:18:01,63
,T00480215,A00001637,Credit,Collection from Another Bank,5718,6218,Old Age Pension,Bank of New York Mellon Corp.,45134812,2013,1,13,2013-01-13,14:23:02,2013-01-13T14:23:02,64
,T01548749,A00005270,Credit,Credit in Cash,800,800,,,NA,2013,1,13,2013-01-13,13:11:54,2013-01-13T13:11:54,65
,T00505241,A00001726,Credit,Credit in Cash,13967,14967,,,NA,2013,1,13,2013-01-13,12:29:39,2013-01-13T12:29:39,66
,T00846007,A00002881,Credit,Credit in Cash,6959,7659,,,NA,2013,1,13,2013-01-13,14:39:11,2013-01-13T14:39:11,67
,T01021121,A00003487,Credit,Credit in Cash,15914,16714,,,NA,2013,1,13,2013-01-13,13:39:09,2013-01-13T13:39:09,68
,T02908689,A00009635,Credit,Collection from Another Bank,4470,4870,Old Age Pension,Bank of America,37906074,2013,1,14,2013-01-14,14:50:59,2013-01-14T14:50:59,69
,T00858384,A00002926,Credit,Credit in Cash,600,600,,,NA,2013,1,14,2013-01-14,10:12:59,2013-01-14T10:12:59,70
,T00498389,A00001699,Credit,Credit in Cash,800,800,,,NA,2013,1,14,2013-01-14,14:55:00,2013-01-14T14:55:00,71
,T00699221,A00002393,Credit,Credit in Cash,10737,11637,,,NA,2013,1,14,2013-01-14,14:59:01,2013-01-14T14:59:01,72
,T01142758,A00003909,Credit,Credit in Cash,700,700,,,NA,2013,1,14,2013-01-14,14:49:02,2013-01-14T14:49:02,73
,T01548750,A00005270,Credit,Collection from Another Bank,44749,45549,,Goldman Sachs,80269753,2013,1,14,2013-01-14,09:52:52,2013-01-14T09:52:52,74
,T00506836,A00001731,Credit,Credit in Cash,200,200,,,NA,2013,1,14,2013-01-14,16:20:17,2013-01-14T16:20:17,75
,T03393738,A00011265,Credit,Credit in Cash,1000,1000,,,NA,2013,1,14,2013-01-14,11:58:13,2013-01-14T11:58:13,76
,T00621775,A00002122,Credit,Credit in Cash,46552,46852,,,NA,2013,1,15,2013-01-15,10:12:11,2013-01-15T10:12:11,77
,T00737258,A00002519,Credit,Credit in Cash,500,500,,,NA,2013,1,15,2013-01-15,15:25:00,2013-01-15T15:25:00,78
,T00144549,A00000485,Credit,Credit in Cash,13156,13456,,,NA,2013,1,16,2013-01-16,14:32:23,2013-01-16T14:32:23,79
,T00435762,A00001481,Credit,Credit in Cash,1000,1000,,,NA,2013,1,17,2013-01-17,14:42:51,2013-01-17T14:42:51,80
,T01027726,A00003510,Credit,Credit in Cash,23323,23823,,,NA,2013,1,17,2013-01-17,08:48:50,2013-01-17T08:48:50,81
,T03122924,A00010364,Credit,Credit in Cash,1100,1100,,,NA,2013,1,17,2013-01-17,12:57:05,2013-01-17T12:57:05,82
,T01176385,A00004034,Credit,Credit in Cash,200,200,,,NA,2013,1,18,2013-01-18,15:59:05,2013-01-18T15:59:05,83
,T00119435,A00000401,Credit,Credit in Cash,300,300,,,NA,2013,1,18,2013-01-18,11:37:05,2013-01-18T11:37:05,84
,T01100767,A00003760,Credit,Credit in Cash,10792,11792,,,NA,2013,1,18,2013-01-18,10:17:03,2013-01-18T10:17:03,85
,T00682546,A00002330,Credit,Credit in Cash,200,200,,,NA,2013,1,19,2013-01-19,09:28:59,2013-01-19T09:28:59,86
,T00529772,A00001806,Credit,Credit in Cash,400,400,,,NA,2013,1,19,2013-01-19,15:16:58,2013-01-19T15:16:58,87
,T01121963,A00003834,Credit,Credit in Cash,700,700,,,NA,2013,1,19,2013-01-19,09:34:56,2013-01-19T09:34:56,88
,T00359511,A00001222,Credit,Credit in Cash,700,700,,,NA,2013,1,20,2013-01-20,11:07:02,2013-01-20T11:07:02,89
,T00063712,A00000212,Credit,Credit in Cash,200,200,,,NA,2013,1,20,2013-01-20,12:29:33,2013-01-20T12:29:33,90
,T00298978,A00001019,Credit,Credit in Cash,1100,1100,,,NA,2013,1,21,2013-01-21,15:60:16,2013-01-21T15:60:16,91
,T00136957,A00000459,Credit,Credit in Cash,1000,1000,,,NA,2013,1,21,2013-01-21,11:07:56,2013-01-21T11:07:56,92
,T00135814,A00000456,Credit,Credit in Cash,700,700,,,NA,2013,1,21,2013-01-21,08:28:34,2013-01-21T08:28:34,93
,T00226654,A00000772,Credit,Credit in Cash,500,500,,,NA,2013,1,21,2013-01-21,08:31:17,2013-01-21T08:31:17,94
,T03402664,A00011295,Credit,Credit in Cash,1100,1100,,,NA,2013,1,21,2013-01-21,13:38:31,2013-01-21T13:38:31,95
,T00695250,A00002378,Credit,Credit in Cash,7268,7968,,,NA,2013,1,22,2013-01-22,14:43:54,2013-01-22T14:43:54,96
,T00451890,A00001536,Credit,Credit in Cash,300,300,,,NA,2013,1,22,2013-01-22,11:17:36,2013-01-22T11:17:36,97
,T00785190,A00002676,Credit,Credit in Cash,200,200,,,NA,2013,1,22,2013-01-22,08:36:26,2013-01-22T08:36:26,98
,T00615548,A00002099,Credit,Credit in Cash,16125,17225,,,NA,2013,1,22,2013-01-22,15:37:35,2013-01-22T15:37:35,99
,T00871631,A00002970,Credit,Credit in Cash,400,400,,,NA,2013,1,22,2013-01-22,11:08:59,2013-01-22T11:08:59,100
,T00695266,A00002378,Credit,Credit in Cash,14440,22408,,,NA,2013,1,23,2013-01-23,13:56:58,2013-01-23T13:56:58,101
,T00347543,A00001179,Credit,Credit in Cash,700,700,,,NA,2013,1,23,2013-01-23,16:24:22,2013-01-23T16:24:22,102
,T00708081,A00002425,Credit,Credit in Cash,900,900,,,NA,2013,1,23,2013-01-23,12:17:12,2013-01-23T12:17:12,103
,T00083658,A00000280,Credit,Credit in Cash,300,300,,,NA,2013,1,23,2013-01-23,09:00:03,2013-01-23T09:00:03,104
,T00695262,A00002378,Credit,Credit in Cash,49752,72160,,,NA,2013,1,24,2013-01-24,08:37:03,2013-01-24T08:37:03,105
,T01183176,A00004055,Credit,Credit in Cash,200,200,,,NA,2013,1,24,2013-01-24,15:41:22,2013-01-24T15:41:22,106
,T00615547,A00002099,Credit,Credit in Cash,36518,53743,,,NA,2013,1,24,2013-01-24,12:49:54,2013-01-24T12:49:54,107
,T01084396,A00003704,Credit,Credit in Cash,500,500,,,NA,2013,1,24,2013-01-24,11:22:14,2013-01-24T11:22:14,108
,T02809952,A00009307,Credit,Credit in Cash,900,900,,,NA,2013,1,24,2013-01-24,08:23:55,2013-01-24T08:23:55,109
,T01486053,A00005065,Credit,Credit in Cash,300,300,,,NA,2013,1,24,2013-01-24,08:08:13,2013-01-24T08:08:13,110
,T01736607,A00005891,Credit,Credit in Cash,900,900,,,NA,2013,1,25,2013-01-25,14:46:59,2013-01-25T14:46:59,111
,T00142150,A00000477,Credit,Credit in Cash,1000,1000,,,NA,2013,1,25,2013-01-25,10:52:42,2013-01-25T10:52:42,112
,T00292053,A00001000,Credit,Credit in Cash,200,200,,,NA,2013,1,25,2013-01-25,15:30:35,2013-01-25T15:30:35,113
,T00695265,A00002378,Credit,Credit in Cash,21899,94059,,,NA,2013,1,26,2013-01-26,09:50:04,2013-01-26T09:50:04,114
,T00144551,A00000485,Credit,Credit in Cash,12336,25792,,,NA,2013,1,26,2013-01-26,16:33:48,2013-01-26T16:33:48,115
,T00511264,A00001750,Credit,Credit in Cash,1100,1100,,,NA,2013,1,26,2013-01-26,08:37:27,2013-01-26T08:37:27,116
,T00594014,A00002023,Credit,Credit in Cash,200,200,,,NA,2013,1,26,2013-01-26,16:08:35,2013-01-26T16:08:35,117
,T00484214,A00001649,Credit,Credit in Cash,700,700,,,NA,2013,1,26,2013-01-26,09:24:38,2013-01-26T09:24:38,118
,T01910780,A00006473,Credit,Credit in Cash,1100,1100,,,NA,2013,1,26,2013-01-26,12:24:02,2013-01-26T12:24:02,119
,T01910790,A00006473,Credit,Credit in Cash,19961,21061,,,NA,2013,1,26,2013-01-26,16:47:38,2013-01-26T16:47:38,120
,T00048640,A00000163,Credit,Credit in Cash,900,900,,,NA,2013,1,27,2013-01-27,13:02:13,2013-01-27T13:02:13,121
,T00783290,A00002670,Credit,Credit in Cash,1100,1100,,,NA,2013,1,27,2013-01-27,10:46:47,2013-01-27T10:46:47,122
,T00752010,A00002566,Credit,Credit in Cash,800,800,,,NA,2013,1,27,2013-01-27,09:45:18,2013-01-27T09:45:18,123
,T00330659,A00001127,Credit,Credit in Cash,600,600,,,NA,2013,1,27,2013-01-27,13:50:39,2013-01-27T13:50:39,124
,T00002176,A00000009,Credit,Credit in Cash,400,400,,,NA,2013,1,27,2013-01-27,11:20:21,2013-01-27T11:20:21,125
,T00336631,A00001144,Credit,Credit in Cash,200,200,,,NA,2013,1,28,2013-01-28,12:37:48,2013-01-28T12:37:48,126
,T00131922,A00000443,Credit,Credit in Cash,500,500,,,NA,2013,1,28,2013-01-28,12:20:32,2013-01-28T12:20:32,127
,T01256504,A00004296,Credit,Credit in Cash,200,200,,,NA,2013,1,28,2013-01-28,15:44:33,2013-01-28T15:44:33,128
,T00851325,A00002902,Credit,Credit in Cash,200,200,,,NA,2013,1,28,2013-01-28,14:23:21,2013-01-28T14:23:21,129
,T00393512,A00001338,Credit,Credit in Cash,38000,38400,,,NA,2013,1,29,2013-01-29,14:22:51,2013-01-29T14:22:51,130
,T00612405,A00002087,Credit,Credit in Cash,16983,17583,,,NA,2013,1,29,2013-01-29,10:49:51,2013-01-29T10:49:51,131
,T01081327,A00003693,Credit,Credit in Cash,1000,1000,,,NA,2013,1,29,2013-01-29,11:50:53,2013-01-29T11:50:53,132
,T00608135,A00002070,Credit,Credit in Cash,300,300,,,NA,2013,1,29,2013-01-29,08:50:19,2013-01-29T08:50:19,133
,T01190752,A00004078,Credit,Credit in Cash,300,300,,,NA,2013,1,30,2013-01-30,13:21:36,2013-01-30T13:21:36,134
,T00541681,A00001843,Credit,Credit in Cash,1000,1000,,,NA,2013,1,30,2013-01-30,10:33:19,2013-01-30T10:33:19,135
,T00796773,A00002714,Credit,Credit in Cash,800,800,,,NA,2013,1,30,2013-01-30,08:03:28,2013-01-30T08:03:28,136
,T00695560,A00002378,Debit,Cash Withdrawal,34700,59453.7,,,NA,2013,1,31,2013-01-31,10:26:13,2013-01-31T10:26:13,137
,T03591421,A00001844,Credit,,12.6,3754.6,Interest Credited,,NA,2013,1,31,2013-01-31,10:00:55,2013-01-31T10:00:55,138
,T03617490,A00002632,Credit,,47.5,15411.5,Interest Credited,,NA,2013,1,31,2013-01-31,11:21:06,2013-01-31T11:21:06,139
,T03579543,A00001493,Credit,,13.3,5222.3,Interest Credited,,NA,2013,1,31,2013-01-31,08:43:41,2013-01-31T08:43:41,140
,T03558798,A00000866,Credit,,37.1,13181.1,Interest Credited,,NA,2013,1,31,2013-01-31,09:37:14,2013-01-31T09:37:14,141
,T03453599,A00006473,Credit,,17,21078,Interest Credited,,NA,2013,1,31,2013-01-31,15:36:15,2013-01-31T15:36:15,142
,T03513134,A00009635,Credit,,11.1,4892.9,Interest Credited,,NA,2013,1,31,2013-01-31,14:03:25,2013-01-31T14:03:25,143
,T03574567,A00001338,Credit,,15.5,38415.5,Interest Credited,,NA,2013,1,31,2013-01-31,16:32:01,2013-01-31T16:32:01,144
,T03654666,A00003760,Credit,,22.2,11814.2,Interest Credited,,NA,2013,1,31,2013-01-31,13:35:59,2013-01-31T13:35:59,145
,T03656579,A00003818,Credit,,55.8,18021.8,Interest Credited,,NA,2013,1,31,2013-01-31,08:42:48,2013-01-31T08:42:48,146
,T03456844,A00009635,Credit,,11.8,4881.8,Interest Credited,,NA,2013,1,31,2013-01-31,14:04:15,2013-01-31T14:04:15,147
,T03553661,A00000704,Credit,,50.1,18527.1,Interest Credited,,NA,2013,1,31,2013-01-31,13:41:56,2013-01-31T13:41:56,148
,T03552056,A00000652,Credit,,45,14596,Interest Credited,,NA,2013,1,31,2013-01-31,12:09:11,2013-01-31T12:09:11,149
,T03583848,A00001628,Credit,,13.4,4989.4,Interest Credited,,NA,2013,1,31,2013-01-31,11:25:03,2013-01-31T11:25:03,150
,T03584201,A00001637,Credit,,15.9,6233.9,Interest Credited,,NA,2013,1,31,2013-01-31,12:03:10,2013-01-31T12:03:10,151
,T03586191,A00001695,Credit,,38.8,12070.8,Interest Credited,,NA,2013,1,31,2013-01-31,16:27:47,2013-01-31T16:27:47,152
,T03587145,A00001726,Credit,,38.2,15005.2,Interest Credited,,NA,2013,1,31,2013-01-31,16:15:34,2013-01-31T16:15:34,153
,T03549613,A00000576,Credit,,20.1,7127.1,Interest Credited,,NA,2013,1,31,2013-01-31,14:09:30,2013-01-31T14:09:30,154
,T03546683,A00000485,Credit,,38.9,25830.9,Interest Credited,,NA,2013,1,31,2013-01-31,08:00:18,2013-01-31T08:00:18,155
,T03599467,A00002087,Credit,,7.1,17590.1,Interest Credited,,NA,2013,1,31,2013-01-31,10:29:50,2013-01-31T10:29:50,156
,T03600403,A00002122,Credit,,107.1,46959.1,Interest Credited,,NA,2013,1,31,2013-01-31,15:53:05,2013-01-31T15:53:05,157
,T03466049,A00003510,Credit,,48,23871,Interest Credited,,NA,2013,1,31,2013-01-31,16:06:06,2013-01-31T16:06:06,158
,T03444292,A00002099,Credit,,62.4,53805.4,Interest Credited,,NA,2013,1,31,2013-01-31,11:50:04,2013-01-31T11:50:04,159
,T00207642,A00000704,Credit,Credit in Cash,2900,21427.1,,,NA,2013,1,31,2013-01-31,13:00:11,2013-01-31T13:00:11,160
,T03602138,A00002177,Credit,,21.5,5944.5,Interest Credited,,NA,2013,1,31,2013-01-31,14:21:32,2013-01-31T14:21:32,161
,T03595783,A00001972,Credit,,19.1,5717.1,Interest Credited,,NA,2013,1,31,2013-01-31,15:34:56,2013-01-31T15:34:56,162
,T03594124,A00001926,Credit,,14,5221,Interest Credited,,NA,2013,1,31,2013-01-31,13:15:20,2013-01-31T13:15:20,163
,T03648651,A00003592,Credit,,19.5,6626.5,Interest Credited,,NA,2013,1,31,2013-01-31,11:11:38,2013-01-31T11:11:38,164
,T03645341,A00003487,Credit,,42.7,16756.7,Interest Credited,,NA,2013,1,31,2013-01-31,09:30:58,2013-01-31T09:30:58,165
,T03556397,A00000793,Credit,,15.2,4216.2,Interest Credited,,NA,2013,1,31,2013-01-31,09:01:07,2013-01-31T09:01:07,166
,T02809959,A00009307,Credit,Credit in Cash,5282,6182,,,NA,2013,1,31,2013-01-31,15:60:01,2013-01-31T15:60:01,167
,T03608592,A00002378,Credit,,94.7,94153.7,Interest Credited,,NA,2013,1,31,2013-01-31,09:23:30,2013-01-31T09:23:30,168
,T03607855,A00002357,Credit,,19.4,7253.4,Interest Credited,,NA,2013,1,31,2013-01-31,09:42:56,2013-01-31T09:42:56,169
,T03609127,A00002393,Credit,,28.2,11665.1,Interest Credited,,NA,2013,1,31,2013-01-31,16:50:08,2013-01-31T16:50:08,170
,T03612139,A00002484,Credit,,42.7,15921.7,Interest Credited,,NA,2013,1,31,2013-01-31,09:45:48,2013-01-31T09:45:48,171
,T03669814,A00005270,Credit,,110.2,45659.2,Interest Credited,,NA,2013,1,31,2013-01-31,10:46:09,2013-01-31T10:46:09,172
,T03479816,A00009307,Credit,,0.8,6182.8,Interest Credited,,NA,2013,1,31,2013-01-31,10:33:13,2013-01-31T10:33:13,173
,T03572388,A00001276,Credit,,23.1,7197.1,Interest Credited,,NA,2013,1,31,2013-01-31,15:00:47,2013-01-31T15:00:47,174
,T03627125,A00002925,Credit,,20,7466,Interest Credited,,NA,2013,1,31,2013-01-31,08:57:05,2013-01-31T08:57:05,175
,T03625747,A00002881,Credit,,19.6,7678.6,Interest Credited,,NA,2013,1,31,2013-01-31,14:26:37,2013-01-31T14:26:37,176
,T01117691,A00003818,Credit,Credit in Cash,2000,20021.8,,,NA,2013,1,31,2013-01-31,14:39:50,2013-01-31T14:39:50,177
,T00771484,A00002632,Credit,Credit in Cash,5100,20511.5,,,NA,2013,2,1,2013-02-01,15:30:50,2013-02-01T15:30:50,178
,T00490777,A00001675,Credit,Credit in Cash,1100,1100,,,NA,2013,2,1,2013-02-01,12:44:46,2013-02-01T12:44:46,179
,T01730428,A00005868,Credit,Credit in Cash,200,200,,,NA,2013,2,2,2013-02-02,08:25:07,2013-02-02T08:25:07,180
,T00453138,A00001539,Credit,Credit in Cash,11900,12500,,,NA,2013,2,2,2013-02-02,09:37:56,2013-02-02T09:37:56,181
,T00754232,A00002574,Credit,Credit in Cash,1100,1100,,,NA,2013,2,2,2013-02-02,12:33:39,2013-02-02T12:33:39,182
,T00726266,A00002484,Credit,Credit in Cash,5500,21421.7,,,NA,2013,2,2,2013-02-02,13:56:30,2013-02-02T13:56:30,183
,T00497553,A00001695,Credit,Credit in Cash,7500,19570.8,,,NA,2013,2,2,2013-02-02,09:40:30,2013-02-02T09:40:30,184
,T00529229,A00001805,Credit,Credit in Cash,1100,1100,,,NA,2013,2,2,2013-02-02,12:10:51,2013-02-02T12:10:51,185
,T00882361,A00003007,Credit,Credit in Cash,800,800,,,NA,2013,2,2,2013-02-02,12:34:00,2013-02-02T12:34:00,186
,T00505750,A00001726,Credit,Credit in Cash,6000,21005.2,,,NA,2013,2,2,2013-02-02,12:32:32,2013-02-02T12:32:32,187
,T00251233,A00000862,Credit,Credit in Cash,200,200,,,NA,2013,2,2,2013-02-02,12:30:23,2013-02-02T12:30:23,188
,T00711848,A00002434,Credit,Credit in Cash,600,600,,,NA,2013,2,2,2013-02-02,15:60:28,2013-02-02T15:60:28,189
,T00145127,A00000485,Debit,Cash Withdrawal,25300,46177.9,,,NA,2013,2,3,2013-02-03,13:16:49,2013-02-03T13:16:49,190
,T00144544,A00000485,Credit,Credit in Cash,45647,71477.9,,,NA,2013,2,3,2013-02-03,08:04:38,2013-02-03T08:04:38,191
,T00332444,A00001132,Credit,Credit in Cash,1000,1000,,,NA,2013,2,3,2013-02-03,10:51:57,2013-02-03T10:51:57,192
,T01313152,A00004484,Credit,Credit in Cash,700,700,,,NA,2013,2,3,2013-02-03,08:19:53,2013-02-03T08:19:53,193
,T01028980,A00003514,Credit,Credit in Cash,600,600,,,NA,2013,2,3,2013-02-03,09:21:17,2013-02-03T09:21:17,194
,T00275306,A00000943,Credit,Credit in Cash,800,800,,,NA,2013,2,3,2013-02-03,08:30:54,2013-02-03T08:30:54,195
,T00846309,A00002881,Credit,Credit in Cash,7000,14678.5,,,NA,2013,2,3,2013-02-03,12:36:29,2013-02-03T12:36:29,196
,T00138712,A00000465,Credit,Credit in Cash,700,700,,,NA,2013,2,4,2013-02-04,11:58:16,2013-02-04T11:58:16,197
,T01163520,A00003983,Credit,Credit in Cash,900,900,,,NA,2013,2,4,2013-02-04,12:32:13,2013-02-04T12:32:13,198
,T02797771,A00009265,Credit,Credit in Cash,300,300,,,NA,2013,2,4,2013-02-04,12:45:11,2013-02-04T12:45:11,199
